cod_variedad,cod_articulo,variedad,itbis_alt1,itbis_alt2,itbis_alt3,itbis_alt4
165,11222,Jamón ahumado,,10,16,
166,11222,Jamón bolo,,10,16,
167,11222,Jamón cocido,,10,16,
169,11222,Jamón de pavo,,10,16,
170,11222,Jamón de pollo,,10,16,
171,11222,Jamón picnic,,10,16,
172,11222,Jamón serrano,,10,16,
173,11222,Jamoneta,,10,16,
174,11222,Longaniza,,10,16,
175,11222,Morcillas,,10,16,
176,11222,Mortadela,,10,16,
177,11222,Salami corriente,,10,16,
178,11222,Salami súper especial,,10,16,
179,11222,Salami vegetal,,10,16,
182,11222,Salchichas de carne de cerdo,,10,16,
183,11222,Salchichas de hot-dog,,10,16,
184,11222,Salchichas de freír,,10,16,
185,11222,Salchichas tipo Viena,,10,16,
186,11222,Salchichas de carne de pavo,,10,16,
192,11243,Patica de cerdo hervida,,10,16,
193,11241,Mondongo de res sancochado o cocido,,10,16,
194,11243,Pipián,,10,16,
195,11231,Pollos vivos,0,0,16,0
196,11231,Gallinas vivas,0,0,16,0
197,11231,Patos vivos,18,10,16,16
199,11231,Guineas vivas,18,10,16,16
200,11311,Bocayate,,10,16,
201,11311,Bonito,,10,16,
202,11311,Carite,,10,16,
203,11311,Chillo,,10,16,
204,11311,Cojinúa,,10,16,
205,11311,Colirubia,,10,16,
206,11311,Colorado,,10,16,
207,11311,Dorado,,10,16,
208,11311,Merluza,,10,16,
210,11311,Picúa,,10,16,
211,11311,Róbalo,,10,16,
212,11311,Salmón,,10,16,
213,11311,Sardinas frescas,,10,16,
214,11311,Tilapia,,10,16,
215,11311,Banano,,10,16,
216,11311,Atún,,10,16,
220,11311,Calamares,,10,16,
224,11311,Langosta y langostino,,10,16,
225,11311,Lambí,,10,16,
227,11311,Pulpo,,10,16,
228,11321,Arenque,,10,16,
231,11321,Filete de arenque,,10,16,
232,11321,Bacalao,,10,16,
233,11321,Filete de bacalao,,10,16,
242,11411,Leche fresca o cruda de vaca,0,0,16,0
243,11411,Leche entera liquida con UHT,0,0,16,0
245,11411,Leche semidescremada liquida con UHT,0,0,16,0
247,11411,Leche descremada liquida con UHT,0,0,16,0
251,11421,Leche en polvo entera,0,0,16,0
252,11421,Leche en polvo semidescremada,0,0,16,0
253,11421,Leche en polvo descremada,0,0,16,0
254,11421,Leche evaporada,,10,16,
256,11421,"Leches reforzadas con hierro y minerales (fórmula infantil),",,10,16,
